# fileName  = fg-asym-pi_needles.txt 
# userId    = annietang 
# nodeName  = antang 
# sysName   = Darwin 
# date      = 20180112 
# timeStamp = 12130257 
#
# command   = xPer_pi_needles(...) 
#
sampleId	seedInit	signifDigits	needleRatio	piMC	tolRadius	error	isCensored	cntProbe	runtime
1	1215	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	11	0.0019999999999527063
2	434503861	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	44	0.01999999999998181
3	436586174	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	33	0.013999999999896318
4	519633422	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	11	0.00099999999997635314
5	801343217	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	110	0.096999999999979991
6	196541178	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	11	0.00099999999997635314
7	275547135	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	33	0.006999999999834472
8	951347280	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	77	0.054000000000087311
9	983307496	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	33	0.0090000000000145519
10	431280513	2	1	3.13953488372093	0.0050000000000000001	-0.0020999999999999999	0	135	0.17200000000002547
11	921338717	3	1	3.1411764705882352	0.00050000000000000001	-0.00041599999999999997	0	267	0.62999999999988177
12	207306908	3	1	3.1418918918918921	0.00050000000000000001	0.000299	0	465	1.7290000000000418
13	420555720	3	1	3.141274238227147	0.00050000000000000001	-0.00031799999999999998	0	567	2.5460000000000491
14	86449914	3	1	3.1418439716312059	0.00050000000000000001	0.00025099999999999998	0	443	1.5399999999999636
15	781091384	3	1	3.1412429378531073	0.00050000000000000001	-0.00035	0	278	0.59500000000002728
16	129570360	3	1	3.1415730337078651	0.00050000000000000001	-1.9599999999999999e-05	0	699	3.875
17	140836881	3	1	3.1417322834645671	0.00050000000000000001	0.00013999999999999999	0	399	1.4809999999999945
18	587543199	3	1	3.141509433962264	0.00050000000000000001	-8.3200000000000003e-05	0	333	1.1639999999999873
19	375095847	3	1	3.1414944356120826	0.00050000000000000001	-9.8200000000000002e-05	0	988	8.2829999999999018
20	423040406	3	1	3.1419354838709679	0.00050000000000000001	0.00034299999999999999	0	487	1.9230000000000018
21	801994905	4	1	2.9411764705882355	5.0000000000000002e-05	-0.20039999999999999	1	1000	9.0459999999998217
22	252158878	4	1	3.1416309012875536	5.0000000000000002e-05	3.8250000000000001e-05	0	366	1.2960000000000491
23	499439902	4	1	3.0721966205837172	5.0000000000000002e-05	-0.069400000000000003	1	1000	8.66599999999994
24	871216938	4	1	3.1397174254317113	5.0000000000000002e-05	-0.0018749999999999999	1	1000	8.2850000000000819
25	562600347	4	1	3.1152647975077881	5.0000000000000002e-05	-0.026329999999999999	1	1000	8.0630000000001019
26	308121721	4	1	3.0627871362940278	5.0000000000000002e-05	-0.078810000000000005	1	1000	8.2300000000000182
27	219705190	4	1	3.2520325203252032	5.0000000000000002e-05	0.1104	1	1000	8.1630000000000109
28	603770852	4	1	3.1416122004357296	5.0000000000000002e-05	1.9550000000000001e-05	0	721	4.2770000000000437
29	62469653	4	1	3.0395136778115504	5.0000000000000002e-05	-0.1021	1	1000	8.3799999999998818
30	70128113	4	1	3.2102728731942216	5.0000000000000002e-05	0.068680000000000005	1	1000	8.3860000000001946
