# fileName  = fg-asym-pi_darts.txt 
# userId    = panzer 
# nodeName  = Georges-MacBook-Pro-2.local 
# sysName   = Darwin 
# date      = 20180112 
# timeStamp = 12180603 
#
# command   = xPer_pi_darts(...) 
#
sampleId	seedInit	signifDigits	piMC	tolRadius	error	isCensored	cntProbe	runtime
1	1215	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	28	0.0020000000000095497
2	526119262	2	3.1000000000000001	0.0050000000000000001	-0.0043	0	51	0.0070000000000050022
3	112551504	2	3.1000000000000001	0.0050000000000000001	0.0037000000000000002	0	117	0.047000000000025466
4	36522095	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	14	0.0010000000000331966
5	624428686	2	3.1000000000000001	0.0050000000000000001	0.0040000000000000001	0	103	0.030000000000029559
6	360410415	2	3.1000000000000001	0.0050000000000000001	-0.0030999999999999999	0	130	0.048000000000001819
7	955635025	2	3.1000000000000001	0.0050000000000000001	-0.0048999999999999998	0	139	0.060000000000002274
8	189052624	2	3.1000000000000001	0.0050000000000000001	-0.0011000000000000001	0	121	0.046999999999968622
9	232897487	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	14	0.0010000000000331966
10	806666133	2	3.1000000000000001	0.0050000000000000001	-0.0011000000000000001	0	121	0.043000000000006366
11	660707126	3	3.1400000000000001	0.00050000000000000001	-0.000231	0	382	0.50599999999997181
12	629290288	3	3.1400000000000001	0.00050000000000000001	0.000108	0	247	0.17199999999996862
13	793127651	3	3.1400000000000001	0.00050000000000000001	-0.00048799999999999999	0	163	0.076999999999998181
14	609739310	3	3.1400000000000001	0.00050000000000000001	0.00027599999999999999	0	578	1.007000000000005
15	573896408	3	3.1400000000000001	0.00050000000000000001	-0.00012899999999999999	0	205	0.12599999999997635
16	791777398	3	3.1400000000000001	0.00050000000000000001	-0.00035	0	177	0.089999999999974989
17	303172237	3	3.1400000000000001	0.00050000000000000001	-0.00048799999999999999	0	163	0.077999999999974534
18	128748478	3	3.1400000000000001	0.00050000000000000001	-0.00012899999999999999	0	205	0.11500000000000909
19	321630681	3	3.1400000000000001	0.00050000000000000001	0.00040099999999999999	0	662	1.25
20	78129939	3	3.1400000000000001	0.00050000000000000001	-0.00028800000000000001	0	736	1.4979999999999905
21	555769756	4	3.1640000000000001	5.0000000000000002e-05	0.022409999999999999	1	1000	2.7969999999999686
22	583788269	4	3.1419999999999999	5.0000000000000002e-05	3.8250000000000001e-05	0	233	0.15399999999999636
23	186210586	4	3.1960000000000002	5.0000000000000002e-05	0.05441	1	1000	2.9870000000000232
24	397515550	4	3.1419999999999999	5.0000000000000002e-05	3.8250000000000001e-05	0	233	0.51900000000000546
25	573929033	4	3.0600000000000001	5.0000000000000002e-05	-0.081589999999999996	1	1000	3.2389999999999759
26	501466138	4	3.1419999999999999	5.0000000000000002e-05	-4.0139999999999999e-05	0	219	0.1430000000000291
27	886989294	4	3.1419999999999999	5.0000000000000002e-05	3.8250000000000001e-05	0	932	3.0360000000000014
28	222085597	4	3.1600000000000001	5.0000000000000002e-05	0.018409999999999999	1	1000	2.9190000000000396
29	143502660	4	3.1419999999999999	5.0000000000000002e-05	3.8250000000000001e-05	0	233	0.15700000000003911
30	979876739	4	3.1419999999999999	5.0000000000000002e-05	2.6679999999999998e-07	0	452	0.58800000000007913
