# fileName  = fg-asym-pi_darts.txt 
# userId    = annietang 
# nodeName  = antang 
# sysName   = Darwin 
# date      = 20180112 
# timeStamp = 12133326 
#
# command   = xPer_pi_darts(...) 
#
sampleId	seedInit	signifDigits	piMC	tolRadius	error	isCensored	cntProbe	runtime
1	1215	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	42	0.012000000000170985
2	439668477	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	14	0.00099999999974897946
3	351655056	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	14	0.00099999999974897946
4	840088937	2	3.1000000000000001	0.0050000000000000001	-0.0043	0	51	0.0090000000000145519
5	635469827	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	56	0.026000000000294676
6	589542062	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	98	0.049999999999727152
7	676688987	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	28	0.0040000000003601599
8	986161498	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	70	0.022999999999683496
9	822708447	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	70	0.02099999999973079
10	750619482	2	3.1000000000000001	0.0050000000000000001	0.0012999999999999999	0	28	0.0039999999999054126
11	882649069	3	3.1400000000000001	0.00050000000000000001	3.82e-05	0	233	0.26299999999991996
12	965855190	3	3.1400000000000001	0.00050000000000000001	0.00036299999999999999	0	317	0.5320000000001528
13	437959007	3	3.1400000000000001	0.00050000000000000001	-0.00048799999999999999	0	163	0.1069999999999709
14	483096435	3	3.1400000000000001	0.00050000000000000001	0.00027599999999999999	0	289	0.34999999999990905
15	381470839	3	3.1400000000000001	0.00050000000000000001	0.00027599999999999999	0	289	0.32999999999992724
16	986520146	3	3.1400000000000001	0.00050000000000000001	0.00049799999999999996	0	373	0.55799999999999272
17	8995499	3	3.1400000000000001	0.00050000000000000001	0.00022599999999999999	0	275	0.33199999999987995
18	470169484	3	3.1400000000000001	0.00050000000000000001	-0.00048799999999999999	0	163	0.11799999999993815
19	848976943	3	3.1400000000000001	0.00050000000000000001	1.3200000000000001e-05	0	685	2.0519999999996799
20	916973132	3	3.1400000000000001	0.00050000000000000001	0.00034299999999999999	0	620	1.6759999999999309
21	530833004	4	3.2000000000000002	5.0000000000000002e-05	0.058409999999999997	1	1000	4.3710000000000946
22	30172340	4	3.1419999999999999	5.0000000000000002e-05	-4.0139999999999999e-05	0	219	0.20500000000038199
23	655019941	4	3.1419999999999999	5.0000000000000002e-05	3.8250000000000001e-05	0	932	3.7100000000000364
24	590087992	4	3.1680000000000001	5.0000000000000002e-05	0.026409999999999999	1	1000	4.2199999999997999
25	34629564	4	3.1840000000000002	5.0000000000000002e-05	0.042410000000000003	1	1000	4.36200000000008
26	87527400	4	3.1419999999999999	5.0000000000000002e-05	-4.0139999999999999e-05	0	438	0.94800000000032014
27	865878145	4	3.1419999999999999	5.0000000000000002e-05	3.8250000000000001e-05	0	466	0.98799999999982901
28	136366137	4	3.1400000000000001	5.0000000000000002e-05	-0.001593	1	1000	4.2689999999997781
29	979878659	4	3.1720000000000002	5.0000000000000002e-05	0.03041	1	1000	4.2519999999999527
30	386107790	4	3.2480000000000002	5.0000000000000002e-05	0.10639999999999999	1	1000	4.1999999999998181
